deal_id,window_event,window_event_date,target,target_ticker,acquirer,sponsor,deal_type,consideration_type,offer_terms,headline_value,value_basis,premium,announce_date,announce_known_at_utc,status_2026_09_24,resolution_date,expected_close,sector,geography,sec_cik,sec_announce_accession,sec_resolution_accession,verification,sources,notes
2026Q3-001,announced,2026-07-06,Crinetics Pharmaceuticals,CRNX,Vertex Pharmaceuticals,,strategic,cash,$85.00/sh cash,$10.0B equity (~$8.8B net of cash),equity,,2026-07-06,2026-07-06T21:17:19Z,closed,2026-09-01,,biotech,US,1658247,0001140361-26-027642,0001140361-26-035195,sec_confirmed,https://www.biopharmadive.com/news/vertex-crinetics-acquire-deal-palsonify-acromegaly/824545/,Closed: 8-K items 2.01/3.01 + Form 25-NSE on 2026-09-01; 15-12G 2026-09-11. FactSet roundup cites $9B (headline mismatch). $4.5B bridge (BofA/MS).
2026Q3-002,announced+terminated,2026-07-06,Element Solutions,ESI,Solstice Advanced Materials,,strategic,mixed,cash + stock (per-share terms n/d),~$14.5B incl. net debt,enterprise,,2026-07-06,2026-07-06T21:18:48Z,terminated,2026-08-27,,specialty chemicals,US,1590714,0001104659-26-080825,0001104659-26-102559,sec_confirmed,https://ir.elementsolutionsinc.com/Investors/news/news-details/2026/Element-Solutions-Announces-Mutual-Termination-of-Merger-Agreement-with-Solstice-Advanced-Materials/default.aspx,"BROKEN DEAL (positive class). Mutual termination, no fee either side, after shareholder conversations. 8-K items 1.01/1.02 accepted 2026-08-27. FactSet cites $12.2B (headline mismatch). Per-share exchange terms not captured - GAP."
2026Q3-003,announced,2026-07-06,Ultra Maritime,,Lockheed Martin,Advent International (seller),strategic (sponsor exit),cash,,$3.45B,purchase price,,2026-07-06,,pending,,,defense - undersea/ASW,US,,,,press_multi,https://news.lockheedmartin.com/2026-07-06-Lockheed-Martin-to-Acquire-Ultra-Maritime-Solutions; https://breakingdefense.com/2026/07/lockheed-martin-to-purchase-ultra-maritime-in-3-5b-deal/,Tracked theme #2 (defense sub-tier). Expected close n/d.
2026Q3-004,announced,2026-07-20,WildFire Energy,,Magnolia Oil & Gas,,strategic,,,,,,2026-07-20,,pending,,,upstream oil & gas,US,,,,press_single,https://www.magnoliaoilgas.com/investors/press-releases/year/2026/07-20-2026-120106731,Terms not captured - GAP.
2026Q3-005,rejected,2026-07-26,Brown-Forman,BF.B,Sazerac,,unsolicited proposal,cash,"$32.00/sh cash (non-binding, submitted 2026-05-01)",~$15B,equity,,2026-05-01,,rejected,2026-07-26,,spirits,US,14693,,,press_multi,https://www.brown-forman.com/article/brown-forman-board-issues-statement-july-26-2026; https://www.bloomberg.com/news/articles/2026-07-26/brown-forman-says-it-rejected-sazerac-s-unsolicited-takeover-bid,"Board: 'not actionable'; Brown family (Wolf Pen Branch) majority of Class A opposed. NOT a July deal announcement despite some roundups listing it as July's largest. Brown-Forman 8-K 1.01 of 2026-09-21 is a $500M notes offering, unrelated."
2026Q3-006,announced,2026-07-27,Luxfer Holdings,LXFR,Wynnchurch Capital affiliates,Wynnchurch Capital,take-private (LBO),cash,$17.37/sh cash,,,30.7% to 2026-04-28 close ($13.29),2026-07-27,2026-07-27T12:31:57Z,pending,,before end-2026,industrials - gas containment/materials,US-listed (UK plc),1096056,0002077096-26-000223,,sec_confirmed,https://www.businesswire.com/news/home/20260727527925/en/Luxfer-Enters-Into-Agreement-to-Be-Acquired-for-$17.37-Per-Share-in-All-Cash-Transaction,No financing condition. DEFM14A on file.
2026Q3-007,announced,2026-07-30,MarketAxess,MKTX,Intercontinental Exchange,,strategic,cash,$167.00/sh cash,~$6.0B equity / ~$5.7B EV,equity + EV,33% to 2026-07-29 close,2026-07-30,2026-07-30T11:44:54Z,pending,,H1 2027,market structure / fixed-income trading,US,1278021,0001193125-26-324933,,sec_confirmed,https://ir.theice.com/press/news-details/2026/Intercontinental-Exchange-to-Acquire-MarketAxess-Creating-a-Premier-Fixed-Income-Marketplace/default.aspx; https://www.cnbc.com/2026/07/30/intercontinental-exchange-to-buy-marketaxess.html,"Debt-financed (bonds, term loan, CP). HSR + MKTX vote required."
2026Q3-008,closed,2026-07-31,SkyWater Technology,SKYT,IonQ,,strategic,mixed,$15.00 cash + 0.4883 IONQ sh (collar-fixed at close),~$1.8B,total consideration,,,,closed,2026-07-31,,semiconductor foundry / quantum,US,1819974,,0001193125-26-327137,sec_confirmed,https://www.nasdaq.com/press-release/ionq-completes-acquisition-skywater-technology-2026-07-31,Announced pre-window (Jan 2026). FTC early termination granted per search summary (unverified).
2026Q3-009,announced,2026-07,Seattle Seahawks,,Khosla family-led group,,control sale,,,$9.6B,,,,,pending,,,sports franchise,US,,,,reported_only,"(FactSet July 2026 monthly review, via search summary; page not fetchable)",Single secondary citation - VERIFY before use.
2026Q3-010,announced,2026-07,Argan (FR),,WDP,,strategic (REIT combination),,,~$14.8B,,,,,n/d,,,logistics REIT,Europe,,,,reported_only,"(Intellizence July 2026 top-10, via search summary; page not fetchable)",Terms and structure not captured - GAP.
