canonical_deal_id,deal_kind,target,target_ticker,acquirer,sponsor,deal_type,consideration_type,sector,geography,sec_cik,id_basis,source_register_rows,normalization_flags
DEAL-ACCULYNX-VRSK-2025,signed_definitive,AccuLynx (private),,Verisk Analytics (VRSK),,strategic,,insurance/roofing software,US,1442145,agreement_year,2026Q3-053,
DEAL-AMBROS-HOWL-2026,signed_definitive,Ambros Therapeutics (private),,Werewolf Therapeutics (HOWL),,reverse merger + $150M PIPE,stock,biotech,US,1785530,agreement_year,2026Q3-021,
DEAL-AMSURG-ASCENSION-2026,signed_definitive,AmSurg (private),,Ascension Health,,strategic,cash,ambulatory surgery centers,US,,first_event_year,2026Q3-054,id_year_from_first_event
DEAL-ARX-THOMABRAVO-2026,signed_definitive,Accelerant Holdings,ARX,Thoma Bravo,Thoma Bravo,take-private (LBO),cash,insurance risk exchange / insurtech,US,1997350,agreement_year,2026Q3-018,
DEAL-ATOME-GRAB-2026,signed_definitive,Atome Financial (majority stake),,Grab Holdings,,strategic,,fintech,Southeast Asia,,agreement_year,2026Q3-035,
DEAL-BIRCH-DEC-2026,signed_definitive,Birch Permian Holdings (private),,Diversified Energy,Elliott (seller affiliates),strategic (sponsor exit),,upstream oil & gas (Permian),US,,agreement_year,2026Q3-028,
DEAL-BWIN-SEQDFO-2026,signed_definitive,The Baldwin Group,BWIN,Sequence Holdings + Dell Family Office,Sequence Holdings; DFO Management,take-private,cash,insurance distribution,US,1781755,agreement_year,2026Q3-034,
DEAL-BWMN-BCP-2026,signed_definitive,Bowman Consulting Group,BWMN,Bernhard Capital Partners,Bernhard Capital Partners,take-private (LBO),cash,engineering / infrastructure services,US,1847590,agreement_year,2026Q3-016;2026Q3-049,
DEAL-BZH-DFH-2026,signed_definitive,Beazer Homes USA,BZH,Dream Finders Homes,,strategic (contested -> agreed),cash,homebuilding,US,915840,agreement_year,2026Q3-015,
DEAL-CARBONIUM-TOMZ-2026,signed_definitive,Carbonium Core,,TOMI Environmental Solutions (TOMZ),,merger,,environmental tech,US,,agreement_year,2026Q3-043,
DEAL-CONVERGENT-VCYT-2026,signed_definitive,Convergent Genomics (private),,Veracyte (VCYT),,strategic,,diagnostics,US,,agreement_year,2026Q3-033,
DEAL-CRNX-VRTX-2026,signed_definitive,Crinetics Pharmaceuticals,CRNX,Vertex Pharmaceuticals,,strategic,cash,biotech,US,1658247,agreement_year,2026Q3-001,
DEAL-CSR-IRT-2026,signed_definitive,Centerspace,CSR,Independence Realty Trust (IRT),,strategic (REIT all-stock),stock,multifamily REIT,US,798359,agreement_year,2026Q3-032,
DEAL-DEPOP-EBAY-2026,signed_definitive,Depop (from Etsy),,eBay,,strategic carve-out,cash,online resale marketplace,UK / US,,agreement_year,2026Q3-051,
DEAL-DHER-UBER-2026,signed_definitive,Delivery Hero,DHER.DE,Uber,,strategic tender offer,cash,food delivery,Germany,1543151,agreement_year,2026Q3-023,
DEAL-DIANOMI-TBLA-2026,signed_definitive,Dianomi,,Taboola,,strategic,,adtech,UK,,agreement_year,2026Q3-040,
DEAL-EA-PIFSLAFF-2025,signed_definitive,Electronic Arts,EA,PIF / Silver Lake / Affinity Partners,Silver Lake; Affinity Partners; PIF,take-private (LBO),cash,video games,US,712515,agreement_year,2026Q3-027,
DEAL-EFSI-JMSB-2026,signed_definitive,Eagle Financial Services,EFSI,John Marshall Bancorp (JMSB),,bank merger,stock,banking (US community),US,880641,agreement_year,2026Q3-031,
DEAL-ESI-SOLS-2026,signed_definitive,Element Solutions,ESI,Solstice Advanced Materials,,strategic,mixed,specialty chemicals,US,1590714,agreement_year,2026Q3-002,
DEAL-EZJ-APOLLO-2026,signed_definitive,easyJet plc,EZJ.L,Apollo (Eagle Bidco),Apollo,take-private (Rule 2.7 scheme),cash (unlisted-share alternative),airlines,UK,,agreement_year,2026Q3-014,
DEAL-FIRSTEAGLE-VCTR-2026,signed_definitive,First Eagle Investments (private),,Victory Capital (VCTR),Genstar Capital (seller),strategic (sponsor exit),cash + stock,asset management,US,,agreement_year,2026Q3-022,
DEAL-FMC-ADENA-2026,signed_definitive,Fairfield Medical Center (nonprofit),,Adena Health,,nonprofit hospital acquisition,,hospitals,US (Ohio),,agreement_year,2026Q3-055,
DEAL-HHS-STRR-2026,signed_definitive,Harte Hanks,HHS,Star Equity Holdings,,strategic,cash + preferred stock,marketing services,US,45919,agreement_year,2026Q3-020,
DEAL-HUGGINGFACE-NVDA-2026,signed_definitive,Hugging Face (private),,Nvidia,,strategic,cash + equity retention,AI platform,US,1045810,agreement_year,2026Q3-029,
DEAL-ITGR-KKR-2026,signed_definitive,Integer Holdings,ITGR,KKR affiliate,KKR,take-private (LBO),cash,medtech contract manufacturing,US,1114483,agreement_year,2026Q3-012,
DEAL-ITM-TELIX-2026,signed_definitive,ITM Isotope Technologies Munich (private),,Telix Pharmaceuticals,,strategic,cash (+ milestones),radiopharma,Germany / Australia,,agreement_year,2026Q3-041,
DEAL-ITRK-EQT-2026,signed_definitive,Intertek Group,ITRK.L,EQT (Isotope Bidco),EQT,take-private (Rule 2.7),cash,"testing, inspection & certification",UK,,agreement_year,2026Q3-048,
DEAL-ITVME-SKY-2026,signed_definitive,ITV Media & Entertainment,,Sky (Comcast),,carve-out,cash + asset,broadcasting / streaming,UK,,agreement_year,2026Q3-061,
DEAL-LINCOLN-EQBK-2026,signed_definitive,Lincoln Bancorp (private),,Equity Bancshares (EQBK),,bank merger,cash + stock,banking (US community),US,,agreement_year,2026Q3-030,
DEAL-LIQUIDNAILS-HENKEL-2025,signed_definitive,A-Paint Topco (Liquid Nails),,Henkel,,strategic,cash,construction adhesives,US,,agreement_year,2026Q3-019,
DEAL-LNTH-CURIUM-2026,signed_definitive,Lantheus Holdings,LNTH,Curium US,,strategic,cash + CVR,radiopharma / diagnostics,US,1521036,agreement_year,2026Q3-011,
DEAL-LXFR-WYNNCHURCH-2026,signed_definitive,Luxfer Holdings,LXFR,Wynnchurch Capital affiliates,Wynnchurch Capital,take-private (LBO),cash,industrials - gas containment/materials,US-listed (UK plc),1096056,agreement_year,2026Q3-006,
